Search results:

    angular git://github.com/angular/bower-angular.git
    angular-mocks git://github.com/angular/bower-angular-mocks.git
    angular-resource git://github.com/angular/bower-angular-resource.git
    angular-sanitize git://github.com/angular/bower-angular-sanitize.git
    angular-route git://github.com/angular/bower-angular-route.git
    angular-cookies git://github.com/angular/bower-angular-cookies.git
    angular-animate git://github.com/angular/bower-angular-animate.git
    angular-bootstrap git://github.com/angular-ui/bootstrap-bower.git
    angular-scenario git://github.com/angular/bower-angular-scenario.git
    angular-ui-router git://github.com/angular-ui/ui-router
    angular-touch git://github.com/angular/bower-angular-touch.git
    angular-ui-utils git://github.com/angular-ui/ui-utils.git
    angular-translate git://github.com/PascalPrecht/bower-angular-translate.git
    angular-ui-select2 git://github.com/angular-ui/ui-select2.git
    restangular git://github.com/mgonto/restangular
    angular-ui git://github.com/angular-ui/angular-ui.git
    angular-i18n git://github.com/angular/bower-angular-i18n.git
    angular-strap git://github.com/mgcrea/angular-strap.git
    ng-file-upload git://github.com/danialfarid/angular-file-upload-bower.git
    angular-translate-loader-static-files git://github.com/PascalPrecht/bower-angular-translate-loader-static-files.git
    angular-local-storage git://github.com/grevory/angular-local-storage.git
    angular-ui-sortable git://github.com/angular-ui/ui-sortable.git
    ng-grid git://github.com/angular-ui/ng-grid.git
    angular-loading-bar git://github.com/chieffancypants/angular-loading-bar.git
    angular-moment git://github.com/urish/angular-moment.git
    angular-loader git://github.com/angular/bower-angular-loader.git
    angular-ui-bootstrap-bower git://github.com/angular-ui/bootstrap-bower
    angular-ui-bootstrap git://github.com/angular-ui/bootstrap.git
    angulartics git://github.com/luisfarzati/angulartics.git
    angular-ui-date git://github.com/angular-ui/ui-date.git
    angular-xeditable git://github.com/vitalets/angular-xeditable.git
    angular-bindonce git://github.com/Pasvaz/bindonce.git
    angular-motion git://github.com/mgcrea/angular-motion.git
    angular-cache git://github.com/jmdobry/angular-cache.git
    angular-gettext git://github.com/rubenv/angular-gettext.git
    angular-file-upload git://github.com/nervgh/angular-file-upload.git
    angular-grid git://github.com/angular-ui/ng-grid
    angular-unstable git://github.com/johannestroeger/bower-angular-unstable.git
    textAngular git://github.com/fraywing/textAngular.git
    angular-translate-storage-cookie git://github.com/PascalPrecht/bower-angular-translate-storage-cookie.git
    angular-http-auth git://github.com/witoldsz/angular-http-auth.git
    angular-elastic git://github.com/monospaced/angular-elastic
    angular-dragdrop git://github.com/codef0rmer/angular-dragdrop.git
    angular-socket-io git://github.com/btford/angular-socket-io.git
    angularjs-nvd3-directives git://github.com/cmaurer/angularjs-nvd3-directives.git
    angular-spinner git://github.com/urish/angular-spinner.git
    angular-ui-ace git://github.com/angular-ui/ui-ace.git
    angular-cookie git://github.com/ivpusic/angular-cookie.git
    angular-dynamic-locale git://github.com/lgalfaso/angular-dynamic-locale
    angular-ui-calendar git://github.com/angular-ui/ui-calendar.git
    angular-busy git://github.com/cgross/angular-busy.git
    AngularJS-Toaster git://github.com/jirikavi/AngularJS-Toaster.git
    angular-translate-interpolation-messageformat git://github.com/PascalPrecht/bower-angular-translate-interpolation-messageformat.git
    angular-translate-loader-partial git://github.com/PascalPrecht/bower-angular-translate-loader-partial.git
    angular-translate-storage-local git://github.com/PascalPrecht/bower-angular-translate-storage-local.git
    angular-ui-tree git://github.com/JimLiu/angular-ui-tree.git
    angular-chosen-localytics git://github.com/localytics/angular-chosen.git
    angular-translate-loader-url git://github.com/PascalPrecht/bower-angular-translate-loader-url.git
    angular-bootstrap-colorpicker git://github.com/buberdds/angular-bootstrap-colorpicker.git
    angular-growl git://github.com/marcorinck/angular-growl.git
    angular-ui-select git://github.com/angular-ui/ui-select.git
    angularfire git://github.com/firebase/angularFire
    angular-promise-tracker git://github.com/ajoslin/angular-promise-tracker
    angularLocalStorage git://github.com/agrublev/angularLocalStorage.git
    angular-carousel git://github.com/revolunet/angular-carousel.git
    angular-ui-tinymce git://github.com/angular-ui/ui-tinymce.git
    angular-base64 git://github.com/ninjatronic/angular-base64.git
    angular-translate-handler-log git://github.com/PascalPrecht/bower-angular-translate-handler-log.git
    angular-snap git://github.com/jtrussell/angular-snap.js-bower.git
    angularytics git://github.com/mgonto/angularytics.git
    angular-ui-codemirror git://github.com/angular-ui/ui-codemirror.git
    angular-bacon git://github.com/lauripiispanen/angular-bacon.git
    angular-modal git://github.com/btford/angular-modal.git
    angular-md5 git://github.com/gdi2290/angular-md5.git
    angular-google-chart git://github.com/bouil/angular-google-chart.git
    ng-file-upload-shim git://github.com/danialfarid/angular-file-upload-shim-bower.git
    angular-bootstrap-datetimepicker git://github.com/dalelotts/angular-bootstrap-datetimepicker
    angular-gestures git://github.com/wzr1337/bower-angular-gestures.git
    angular-ui-map git://github.com/angular-ui/ui-map.git
    angular-easyfb git://github.com/pc035860/angular-easyfb.git
    angular-truncate git://github.com/sparkalow/angular-truncate.git
    angular-wizard git://github.com/mgonto/angular-wizard
    angularjs git://github.com/angular/bower-angular.git
    angular-underscore git://github.com/floydsoft/angular-underscore.git
    angular-facebook git://github.com/Ciul/Angularjs-Facebook.git
    angular-google-maps git://github.com/angular-ui/angular-google-maps.git
    angular-leaflet-directive git://github.com/tombatossals/angular-leaflet-directive
    angularjs-file-upload git://github.com/danialfarid/angular-file-upload-bower.git
    angular-ui-slider git://github.com/angular-ui/ui-slider.git
    angular-highlightjs git://github.com/pc035860/angular-highlightjs.git
    angular-raven git://github.com/gdi2290/angular-raven.git
    angular-ui-select2-sortable git://github.com/Taranys/ui-select2-sortable.git
    venturocket-angular-slider git://github.com/Venturocket/angular-slider.git
    angular-intro.js git://github.com/mendhak/angular-intro.js.git
    angular-lodash git://github.com/cabrel/angular-lodash.git
    angular-bootstrap-switch git://github.com/frapontillo/angular-bootstrap-switch.git
    angularAMD git://github.com/marcoslin/bower-angularAMD.git
    angular-masonry git://github.com/passy/angular-masonry.git
    angular-flash git://github.com/wmluke/angular-flash.git
    angular-timer git://github.com/siddii/angular-timer.git
    angular-webstorage git://github.com/fredricrylander/angular-webstorage.git
    angularjs-rails-resource git://github.com/FineLinePrototyping/dist-angularjs-rails-resource
    angular-hammer git://github.com/monospaced/angular-hammer.git
    angular-markdown-directive git://github.com/btford/angular-markdown-directive.git
    angular-resource-unstable git://github.com/johannestroeger/bower-angular-resource-unstable.git
    angular-once git://github.com/tadeuszwojcik/angular-once.git
    angular-recaptcha git://github.com/VividCortex/angular-recaptcha
    angular-messages git://github.com/angular/bower-angular-messages.git
    angular-dialog-service git://github.com/m-e-conroy/angular-dialog-service
    angular-gravatar git://github.com/wallin/angular-gravatar.git
    angular-typeahead git://github.com/Siyfion/angular-typeahead.git
    ui-bootstrap git://github.com/angular-ui/bootstrap.git
    angular-latest git://github.com/angular/angular.js.git
    danialfarid-angular-file-upload git://github.com/danialfarid/angular-file-upload.git
    angular-google-analytics git://github.com/revolunet/angular-google-analytics.git
    angular-foundation git://github.com/pineconellc/angular-foundation-bower.git
    angular-gridster git://github.com/ManifestWebDesign/angular-gridster.git
    angular-placeholder-shim git://github.com/urish/angular-placeholder-shim.git
    isteven-angular-multiselect git://github.com/isteven/angular-multi-select.git
    angular-ie7-support git://github.com/johngeorgewright/angular-ie7-support.git
    angular-toggle-switch git://github.com/cgarvis/angular-toggle-switch.git
    angular-placeholders git://github.com/joshdmiller/angular-placeholders.git
    angular-growl-v2 git://github.com/JanStevens/angular-growl-2.git
    angular-blocks git://github.com/wmluke/angular-blocks.git
    angular-uuid4 git://github.com/monicao/angular-uuid4.git
    angularjs-geolocation git://github.com/arunisrael/angularjs-geolocation.git
    angular-xml git://github.com/johngeorgewright/angular-xml.git
    angular-leaflet git://github.com/tombatossals/angular-leaflet-directive.git
    ng-debounce git://github.com/shahata/angular-debounce.git
    angular-route-segment git://github.com/artch/angular-route-segment.git
    angular-redactor git://github.com/TylerGarlick/angular-redactor.git
    angular-kendo-ui git://github.com/kendo-labs/angular-kendo.git
    angular-agility git://github.com/AngularAgility/AngularAgility.git
    angular-pusher git://github.com/doowb/angular-pusher.git
    angular-charts git://github.com/chinmaymk/angular-charts.git
    neosavvy-javascript-angular-core git://github.com/neosavvyinc/bower-neosavvy-javascript-angular-core.git
    AngularGM git://github.com/dylanfprice/angular-gm-bower.git
    angular-recursion git://github.com/marklagendijk/angular-recursion.git
    angular-complete git://github.com/jpillora/bower-angular
    unstable-angular-complete git://github.com/ryanzec/bower-unstable-angular-complete.git
    angular-contenteditable git://github.com/akatov/angular-contenteditable.git
    angular-pines-notify git://github.com/mykabam/angular-pines-notify.git
    angular-spin git://github.com/zerko/angular-spin.git
    angular-nouislider git://github.com/vasyabigi/angular-nouislider.git
    angular-payments git://github.com/laurihy/angular-payments.git
    angular-toastr git://github.com/Foxandxss/angular-toastr.git
    angular-underscore-module git://github.com/andresesfm/angular-underscore-module.git
    angular-breadcrumb git://github.com/ncuillery/angular-breadcrumb.git
    ui.bootstrap git://github.com/angular-ui/bootstrap
    angular-context-menu git://github.com/tilt/angular-context-menu.git
    angular-collection git://github.com/tomkuk/angular-collection.git
    angularjs-utilities git://github.com/realcrowd/angularjs-utilities.git
    ui-utils git://github.com/angular-ui/ui-utils.git
    bootstrap-ui git://github.com/angular-ui/bootstrap
    angular-slick git://github.com/vasyabigi/angular-slick.git
    angular-upload git://github.com/leon/angular-upload.git
    angular-block-ui git://github.com/McNull/angular-block-ui.git
    angular-inview git://github.com/thenikso/angular-inview
    angular-deckgrid git://github.com/akoenig/angular-deckgrid.git
    angular-momentjs git://github.com/gdi2290/angular-momentjs.git
    mobile-angular-ui git://github.com/mcasimir/mobile-angular-ui.git
    angular-models git://github.com/octanner/angular-models.git
    angular-datepicker git://github.com/g00fy-/angular-datepicker.git
    angular-linkto git://github.com/octanner/angular-linkto.git
    ngmap git://github.com/allenhwkim/angularjs-google-maps.git
    angular-utils-pagination git://github.com/michaelbromley/angularUtils-pagination.git
    angular-spectrum-colorpicker git://github.com/Jimdo/angular-spectrum-colorpicker.git
    angular-notify-toaster git://github.com/jirikavi/AngularJS-Toaster
    angularjs-scope.safeapply git://github.com/yearofmoo/AngularJS-Scope.SafeApply.git
    angular-fontawesome git://github.com/picardy/angular-fontawesome.git
    angular-ui-router.stateHelper git://github.com/marklagendijk/ui-router.stateHelper.git
    angular-mousewheel git://github.com/monospaced/angular-mousewheel.git
    angularjs-modal-service git://github.com/Fundoo-Solutions/angularjs-modal-service.git
    angular-dropzone git://github.com/sandbochs/angular-dropzone.git
    angular-slugify git://github.com/paulsmith/angular-slugify.git
    angular-nvd3 git://github.com/krispo/angular-nvd3.git
    angular-lifecycle git://github.com/octanner/angular-lifecycle
    angular-rangeslider git://github.com/danielcrisp/angular-rangeslider.git
    angular-linkify git://github.com/scottcorgan/angular-linkify.git
    angular-marked git://github.com/Hypercubed/angular-marked.git
    angularjs-truncate git://github.com/sparkalow/angular-truncate.git
    angularjs-scroll-glue git://github.com/wishbear/angularjs-scroll-glue.git
    angular-locale-bundles git://github.com/AresProjectManagement/angular-locale-bundles.git
    angular-data git://github.com/jmdobry/angular-data.git
    angular-tree-control git://github.com/wix/angular-tree-control.git
    ui-router git://github.com/angular-ui/ui-router.git
    angular-schema-form git://github.com/Textalk/angular-schema-form.git
    angular-encode-uri git://github.com/rubenv/angular-encode-uri.git
    angular-specs git://github.com/Mindspace/bower-angular-specs.git
    angular-markdown git://github.com/PatrickHeneise/angular-markdown.git
    angular-debounce git://github.com/rubenv/angular-debounce.git
    angular-filters git://github.com/frapontillo/angular-filters.git
    angular-growl-notifications git://github.com/jvandemo/angular-growl-notifications.git
    angular-bootstrap-jbruni git://github.com/jbruni/bootstrap-bower-jbruni.git
    angular-localForage git://github.com/ocombe/angular-localForage.git
    angular-mocks-unstable git://github.com/meenie/bower-angular-mocks-unstable.git
    angular-material git://github.com/angular/bower-material.git
    angular-reverse-url git://github.com/incuna/angular-reverse-url.git
    angular-classy git://github.com/davej/angular-classy
    Angular-NestedSortable git://github.com/JimLiu/Angular-NestedSortable.git
    angular-bind-html-compile git://github.com/incuna/angular-bind-html-compile.git
    pubnub-angular git://github.com/pubnub/pubnub-angular.git
    angular-ui-bootstrap3 git://github.com/kkruit/angular-ui-bootstrap3-bower.git
    angular-readable-time git://github.com/wildlyinaccurate/angular-readable-time.git
    angular-social git://github.com/esvit/angular-social.git
    angular-vertxbus git://github.com/knalli/angular-vertxbus.git
    angularjs-slider git://github.com/rzajac/angularjs-slider.git
    angular-dragdrop-ganarajpr git://github.com/ganarajpr/angular-dragdrop.git
    angular-multi-select git://github.com/isteven/angular-multi-select.git
    angular-isotope git://github.com/mankindsoftware/angular-isotope
    angular-thrift git://github.com/davearata/angular-thrift.git
    angular-devise git://github.com/cloudspace/angular_devise.git
    angular-dataform git://github.com/sqs/angular-dataform.git
    angular-selection-model git://github.com/jtrussell/angular-selection-model.git
    angular-smart-table git://github.com/lorenzofox3/Smart-Table.git
    angular-ravenjs git://github.com/incuna/angular-raven.git
    angularitics git://github.com/luisfarzati/angulartics
    famous-angular git://github.com/Famous/famous-angular.git
    angular-datatables git://github.com/l-lin/angular-datatables.git
    angular-medium-editor git://github.com/thijsw/angular-medium-editor.git
    bower-angular-placeholders git://github.com/grailian/bower-angular-placeholders
    angular-bootstrap-select git://github.com/joaoneto/angular-bootstrap-select.git
    angular-segmentio git://github.com/arnaudbreton/angular-segmentio.git
    angular-notification git://github.com/neoziro/angular-notification.git
    angular-summernote git://github.com/outsideris/angular-summernote.git
    angular-hal git://github.com/elmerbulthuis/angular-hal.git
    angular-css-injector git://github.com/Yappli/angular-css-injector.git
    angular-qrcode git://github.com/monospaced/angular-qrcode.git
    angular-bootstrap-nav-tree git://github.com/nickperkinslondon/angular-bootstrap-nav-tree
    angular-restsource git://github.com/AresProjectManagement/angular-restsource.git
    angular-ui-grid git://github.com/angular-ui/bower-ui-grid.git
    angular-cached-resource git://github.com/goodeggs/angular-cached-resource.git
    angular-tags git://github.com/decipherinc/angular-tags.git
    angular-numeraljs git://github.com/baumandm/angular-numeraljs.git
    angular-ui-foundation-pagination git://github.com/fuksito/angular-ui-foundation-pagination.git
    angularjs-bower git://github.com/mjaric/angularjs-bower.git
    angular-bootstrap-toggle-switch git://github.com/JumpLink/angular-toggle-switch.git
